일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2022-09-02,진안(703),X,26.7,25.7,20.9,16.8,80,X, ,X,높음
2022-09-02,담양(706),X,29.1,28.1,22.9,18.4,85,X, ,X,높음
2022-09-02,구례(709),X,27.4,25.7,22.5,18.7,84,X, ,X,보통
2022-09-02,나주(710),X,29.2,27.9,22.9,18.8,84,X, ,X,높음
2022-09-02,순천시(712),X,25.8,24.9,23.3,20.9,74,X, ,X,보통
2022-09-02,광양읍(713),X,26.1,25,23.1,20.1,78,X, ,X,보통
2022-09-02,장성(730),X,29.1,28.8,23,17.9,79,X, ,X,높음
2022-09-02,영암(731),X,28.8,27.7,23,19.4,83,X, ,X,보통
2022-09-02,보성(732),X,25.4,23.5,22.1,19.9,85,X, ,X,보통
2022-09-02,완주(734),X,29.3,28.7,23.1,16.9,77,X, ,X,높음
2022-09-02,김제(737),X,26.9,27.4,22.6,18,68,X, ,X,높음
2022-09-02,화순(741),X,29.3,28.3,22.8,18.9,79,X, ,X,높음
2022-09-02,함평(754),X,28.9,27.6,23.3,19.6,80,X, ,X,보통
2022-09-02,곡성(768),X,27.5,26.1,21.3,17.5,87,X, ,X,높음
2022-09-02,압해도(789),X,28.2,27.5,23.5,20.4,76,X, ,X,보통
2022-09-02,영양(801),X,25.9,25.2,20.4,15.6,83,X, ,X,보통
2022-09-02,성주(810),X,26.2,25,21,18.1,86,X, ,X,보통
2022-09-02,고령(812),X,26.1,24,21.3,17.5,93,X, ,X,보통
2022-09-02,청도(813),X,25.8,24.4,21.6,18.7,82,X, ,X,보통
2022-09-02,예천(815),X,27.7,27.7,21.6,16.3,78,X, ,X,높음
2022-09-02,김천(822),X,26.2,24.1,20.6,17.8,90,X, ,X,높음
2022-09-02,군위(823),X,27.3,26.2,20.9,17.1,90,X, ,X,보통
2022-09-02,칠곡(825),X,27.2,25.5,21.7,18.3,89,X, ,X,보통
2022-09-02,경산(827),X,26.2,24.4,21.3,18.6,85,X, ,X,보통
2022-09-02,삼척(876),X,27,25.9,21.3,17.5,79,X, ,X,보통
2022-09-02,속초(90),X,27.5,26.1,21.5,16.3,80.3,X, ,X,높음
2022-09-02,삼천포(907),X,24.7,22.7,20.9,20,92,X, ,X,보통
